x,y,label
0.889629,-0.949696,0
0.839073,0.29055,1
-0.162502,-1.20008,0
-0.122253,-0.498874,1
-1.0714,0.452665,0
-1.33077,0.665996,0
1.31566,-1.49766,0
1.47663,0.352445,0
0.334959,-1.4788,0
-1.43081,0.074324,0
-0.300417,-1.36,0
1.42127,-0.801686,0
-1.22818,0.355158,0
-0.352614,1.44969,0
-0.0997113,1.07982,0
0.540923,-0.148502,1
-1.46021,1.32661,0
0.189865,-0.34375,0
-1.4521,-0.807319,0
-0.776924,0.549791,1
0.32999,0.999585,0
-0.979906,-0.326818,0
-0.953292,0.766084,0
-0.224532,-0.876175,1
0.203101,-1.40606,0
1.02685,-0.150738,0
-0.314549,1.27998,0
0.681816,-0.520378,1
0.211332,0.0625028,0
1.38352,1.0336,0
0.74196,0.119076,1
0.260254,1.39577,0
0.321103,-0.672002,1
-0.611179,-1.0042,0
-1.45309,-0.229796,0
-0.315355,-0.619535,1
-1.45776,-0.903473,0
0.634026,0.870527,0
0.31788,1.2789,0
0.453231,1.24488,0
1.05012,-0.151648,0
-1.21377,-0.387545,0
0.506524,0.497767,1
0.273893,-0.675835,1
0.18373,-0.351219,0
1.41514,1.04674,0
0.665189,-0.792045,0
-0.731795,-1.3787,0
0.631989,-1.16733,0
-0.18199,-0.894842,1
1.18729,-0.0738893,0
0.189827,0.586548,1
-1.08201,0.313252,0
0.119523,-0.890816,1
1.32856,0.296596,0
0.584355,1.1414,0
0.373062,-0.613099,1
-1.18352,-0.130396,0
-0.844679,-0.25047,1
1.14984,-0.526965,0
-1.13374,-0.431106,0
1.22049,-0.683603,0
0.44307,-1.49844,0
-0.442293,-0.585656,1
-1.00603,0.102268,0
-0.0455101,0.577308,1
-0.691763,-0.767623,0
-0.995127,-0.843707,0
0.174306,-0.288491,0
-1.30532,-0.738254,0
-0.759372,0.588913,1
0.636812,-1.05574,0
1.49322,-0.699657,0
1.42984,-0.266889,0
-1.40085,-0.464786,0
0.403054,0.542116,1
0.0928038,-0.156651,0
0.158679,0.27809,0
-1.25744,-0.391037,0
-0.77352,0.909419,0
-0.0890981,1.45027,0
-0.303527,0.949296,1
0.895035,-1.04785,0
0.0245963,0.587438,1
1.07508,-0.522123,0
-0.839277,0.633449,0
0.928503,-0.454002,0
-1.21147,1.32157,0
-0.307284,0.053254,0
1.01313,0.52707,0
0.705648,-0.872785,0
0.124344,0.587353,1
-0.81435,-0.975135,0
1.44651,0.0499077,0
-0.717512,1.48876,0
1.39626,0.17488,0
1.14791,-0.933879,0
-0.663386,0.601073,1
1.03998,1.06897,0
-0.286476,1.16331,0
1.05279,1.3069,0
0.856022,0.506965,1
0.24206,-0.383152,0
1.3204,1.42099,0
-0.648237,-0.583908,1
-0.0431588,-0.154728,0
1.48337,-0.972224,0
-1.44577,-0.0183189,0
-0.963532,-0.400594,0
0.732512,0.66282,1
-0.575818,0.127621,1
0.0264422,0.408998,0
-0.748615,0.269613,1
1.43668,-0.0397735,0
1.2183,-0.196817,0
-0.449765,0.43531,1
0.506772,1.0925,0
-0.809444,-0.00241986,1
0.216013,0.805662,1
-1.36919,1.48365,0
-0.0901665,-0.661319,1
1.15048,0.743156,0
1.35922,-0.507749,0
0.158295,0.216877,0
1.44099,-1.27396,0
-0.582909,-0.927267,0
-0.694575,-0.0441604,1
-0.381939,-0.315926,0
1.03264,1.29005,0
-1.28875,-0.873244,0
0.513431,-0.42406,1
-0.737509,-0.614128,1
-0.532348,1.04601,0
-1.09014,0.626733,0
0.15846,-0.61047,1
-0.240657,-0.731379,1
0.334541,-1.25522,0
-1.48445,0.383683,0
-0.917178,-1.28718,0
-0.309649,-1.34769,0
1.15985,-1.41715,0
0.236595,-0.184578,0
0.516078,-0.515542,1
-1.03488,1.44552,0
1.0168,1.08121,0
-0.749246,-1.3835,0
-0.590203,0.111247,1
-0.520046,0.983607,0
-0.685371,1.39576,0
-0.128205,1.02607,0
-0.91686,-0.265938,1
0.598537,-1.08494,0
-1.10176,1.40861,0
0.643785,-1.3768,0
-0.303537,-0.199438,0
0.732128,-0.747418,0
-0.946999,-1.25738,0
-0.215057,0.5655,1
-1.32542,1.24564,0
-0.172943,-0.780638,1
-1.21838,-0.951402,0
1.30384,0.414812,0
0.0500888,0.471334,0
-0.192981,0.690118,1
-1.35685,0.198112,0
-1.02406,-1.13951,0
-0.474361,-1.2246,0
-1.21753,-0.56576,0
1.43853,-0.974009,0
-1.44852,0.790093,0
0.920739,-0.461087,0
-0.105979,0.449321,0
-1.35582,1.34744,0
1.16004,-0.717319,0
-1.45409,1.30031,0
0.00311965,0.118132,0
0.551891,0.347554,1
1.33167,1.33275,0
1.1016,0.409211,0
0.902848,0.531505,0
